dataset,threshold,window_size,alphabet_size,weight_sharpness,f1_score_mean
BATADAL,0.01,4,3,6.0,0.16666666666666666
BATADAL,0.02,4,3,6.0,0.1095890410958904
BATADAL,0.03,4,3,6.0,0.09876543209876543
BATADAL,0.05,4,3,6.0,0.09411764705882353
BATADAL,0.07,4,3,6.0,0.09302325581395349
BATADAL,0.1,4,3,6.0,0.08602150537634409
BATADAL,0.15,4,3,6.0,0.08080808080808081
BATADAL,0.2,4,3,6.0,0.07476635514018691
SKAB,0.5,4,4,2.0,0.29673039449795363
SKAB,0.6,4,4,2.0,0.31931286223632094
SKAB,0.7,4,4,2.0,0.3537451532064988
SKAB,0.8,4,4,2.0,0.3704133313717272
SKAB,0.9,4,4,2.0,0.4111523572889109
SKAB,0.95,4,4,2.0,0.4334116212721839
SKAB,0.99,4,4,2.0,0.5414225705313253
