dataset,model,fold,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,-,0.2,0.96328029375765,0.7551020408163265,0.925,0.8314606741573034
BATADAL,GRU,-,0.1,0.9216646266829864,0.6290322580645161,0.4875,0.5492957746478874
SKAB,LSTM,1,0.4,0.8926807364167041,0.9594827586206895,0.7208549222797928,0.8232248520710059
SKAB,LSTM,2,0.5,0.8595581605049594,0.7513781697905182,0.8879478827361563,0.8139743206927441
SKAB,LSTM,3,0.5,0.8200676437429538,0.6744186046511628,0.9269406392694064,0.7807692307692308
SKAB,LSTM,4,0.5,0.9403564899451554,0.9948339483394834,0.8414481897627965,0.9117348664186676
SKAB,LSTM,5,0.5,0.9178419520931274,0.9913180741910024,0.7791563275434243,0.8725251823549843
SKAB,GRU,1,0.4,0.8931297709923665,0.9643478260869566,0.7182642487046632,0.8233110616184113
SKAB,GRU,2,0.5,0.8773669972948602,0.7882489819662595,0.8827361563517915,0.832821143208359
SKAB,GRU,3,0.5,0.8845546786922209,0.7775965198477434,0.9328114807566862,0.8481613285883749
SKAB,GRU,4,0.5,0.9419561243144424,0.9977843426883308,0.8433208489388264,0.9140730717185386
SKAB,GRU,5,0.5,0.9200805910006716,0.992156862745098,0.7847394540942928,0.8763422237616904
