dataset,model,seed,fold,scenario,threshold,accuracy,precision,recall,f1
SKAB,LSTM,42,1,gaussian_noise,0.5,0.8729232150875618,0.9536178107606679,0.6658031088082902,0.7841342486651411
SKAB,LSTM,42,1,unseen_data,0.5,0.6983640081799591,0.39473684210526316,0.05226480836236934,0.09230769230769231
SKAB,LSTM,42,2,gaussian_noise,0.5,0.8972046889089269,0.8291641244661379,0.885342019543974,0.8563327032136105
SKAB,LSTM,42,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,42,3,gaussian_noise,0.2,0.8257046223224351,0.6826923076923077,0.9262883235485975,0.7860503736507057
SKAB,LSTM,42,3,unseen_data,0.2,1.0,1.0,1.0,1.0
SKAB,LSTM,42,4,gaussian_noise,0.5,0.9367001828153565,0.9874908020603385,0.8377028714107366,0.9064505234718001
SKAB,LSTM,42,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,42,5,gaussian_noise,0.5,0.9182896798746362,0.990558615263572,0.7810173697270472,0.8733957682969129
SKAB,LSTM,42,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,LSTM,123,1,gaussian_noise,0.5,0.8585541086663673,0.941972920696325,0.6308290155440415,0.7556245151280062
SKAB,LSTM,123,1,unseen_data,0.5,0.7065439672801636,0.0,0.0,0.0
SKAB,LSTM,123,2,gaussian_noise,0.5,0.8956266907123535,0.8341645885286783,0.8716612377850163,0.8525007964319847
SKAB,LSTM,123,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,123,3,gaussian_noise,0.2,0.7810597519729425,0.6231375985977213,0.9275929549902152,0.745478374836173
SKAB,LSTM,123,3,unseen_data,0.2,1.0,1.0,1.0,1.0
SKAB,LSTM,123,4,gaussian_noise,0.5,0.9419561243144424,0.9992592592592593,0.8420724094881398,0.9139566395663956
SKAB,LSTM,123,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,123,5,gaussian_noise,0.5,0.9209760465636893,1.0,0.7810173697270472,0.8770463253221874
SKAB,LSTM,123,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,LSTM,2026,1,gaussian_noise,0.5,0.8612483161203413,0.8475975975975976,0.7312176165803109,0.7851182197496523
SKAB,LSTM,2026,1,unseen_data,0.5,0.7014314928425358,0.391304347826087,0.0313588850174216,0.05806451612903226
SKAB,LSTM,2026,2,gaussian_noise,0.5,0.8965284039675383,0.8349937733499377,0.8736156351791531,0.8538681948424068
SKAB,LSTM,2026,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,2026,3,gaussian_noise,0.4,0.8676437429537768,0.7532119914346895,0.9178082191780822,0.827403704792708
SKAB,LSTM,2026,3,unseen_data,0.4,1.0,1.0,1.0,1.0
SKAB,LSTM,2026,4,gaussian_noise,0.5,0.9360146252285192,0.9838945827232797,0.8389513108614233,0.9056603773584906
SKAB,LSTM,2026,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,2026,5,gaussian_noise,0.3,0.9227669576897246,0.9992119779353822,0.7866004962779156,0.8802499132245748
SKAB,LSTM,2026,5,unseen_data,0.3,1.0,0.0,0.0,0.0
SKAB,LSTM,7,1,gaussian_noise,0.5,0.8592276605298608,0.7863835103060587,0.8154145077720207,0.8006359300476947
SKAB,LSTM,7,1,unseen_data,0.5,0.5480572597137015,0.3218390804597701,0.4878048780487805,0.3878116343490305
SKAB,LSTM,7,2,gaussian_noise,0.5,0.9064472497745717,0.8763440860215054,0.8495114006514658,0.8627191531591135
SKAB,LSTM,7,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,7,3,gaussian_noise,0.2,0.8128523111612176,0.6602827177382581,0.9445531637312459,0.7772410091250671
SKAB,LSTM,7,3,unseen_data,0.2,1.0,1.0,1.0,1.0
SKAB,LSTM,7,4,gaussian_noise,0.5,0.9389853747714808,1.0,0.8333333333333334,0.9090909090909091
SKAB,LSTM,7,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,7,5,gaussian_noise,0.5,0.9198567271099172,0.9992038216560509,0.7785359801488834,0.8751743375174338
SKAB,LSTM,7,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,LSTM,999,1,gaussian_noise,0.5,0.8794342164346655,0.9799809342230696,0.6658031088082902,0.7929039722329349
SKAB,LSTM,999,1,unseen_data,0.5,0.7065439672801636,0.0,0.0,0.0
SKAB,LSTM,999,2,gaussian_noise,0.5,0.887736699729486,0.820259419394688,0.8651465798045602,0.8421052631578947
SKAB,LSTM,999,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,LSTM,999,3,gaussian_noise,0.2,0.8040586245772267,0.6494149414941495,0.9412915851272016,0.7685752330226365
SKAB,LSTM,999,3,unseen_data,0.2,1.0,1.0,1.0,1.0
SKAB,LSTM,999,4,gaussian_noise,0.4,0.9398994515539305,0.9911958914159942,0.8433208489388264,0.9112984822934233
SKAB,LSTM,999,4,unseen_data,0.4,1.0,1.0,1.0,1.0
SKAB,LSTM,999,5,gaussian_noise,0.4,0.9167226326393553,0.990506329113924,0.7766749379652605,0.8706536856745479
SKAB,LSTM,999,5,unseen_data,0.4,1.0,0.0,0.0,0.0
SKAB,GRU,42,1,gaussian_noise,0.5,0.8947013920071846,0.9677980852915579,0.7202072538860104,0.8258447827701448
SKAB,GRU,42,1,unseen_data,0.5,0.7065439672801636,0.0,0.0,0.0
SKAB,GRU,42,2,gaussian_noise,0.5,0.9003606853020739,0.841776110068793,0.8768729641693811,0.8589661774090619
SKAB,GRU,42,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,42,3,gaussian_noise,0.5,0.8511837655016911,0.724191063174114,0.9197651663405088,0.8103448275862069
SKAB,GRU,42,3,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,42,4,gaussian_noise,0.5,0.9382998171846435,0.9977578475336323,0.8333333333333334,0.9081632653061225
SKAB,GRU,42,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,42,5,gaussian_noise,0.5,0.9196328632191627,0.9875486381322958,0.7872208436724566,0.8760787021056266
SKAB,GRU,42,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,GRU,123,1,gaussian_noise,0.5,0.8700044903457567,0.9447004608294931,0.663860103626943,0.7797641688855078
SKAB,GRU,123,1,unseen_data,0.5,0.7065439672801636,0.0,0.0,0.0
SKAB,GRU,123,2,gaussian_noise,0.4,0.8818755635707844,0.7930434782608695,0.8912052117263843,0.8392638036809816
SKAB,GRU,123,2,unseen_data,0.4,1.0,1.0,1.0,1.0
SKAB,GRU,123,3,gaussian_noise,0.3,0.8703494926719278,0.7545164718384697,0.9262883235485975,0.8316251830161054
SKAB,GRU,123,3,unseen_data,0.3,1.0,1.0,1.0,1.0
SKAB,GRU,123,4,gaussian_noise,0.5,0.9360146252285192,0.9707977207977208,0.8508114856429463,0.9068529607451763
SKAB,GRU,123,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,123,5,gaussian_noise,0.5,0.9216476382359525,1.0,0.78287841191067,0.8782185107863605
SKAB,GRU,123,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,GRU,2026,1,gaussian_noise,0.5,0.9000898069151325,0.9765828274067649,0.7292746113989638,0.8350018539117539
SKAB,GRU,2026,1,unseen_data,0.5,0.7106339468302658,1.0,0.013937282229965157,0.027491408934707903
SKAB,GRU,2026,2,gaussian_noise,0.5,0.918394950405771,0.8912608405603736,0.8703583061889251,0.8806855636123929
SKAB,GRU,2026,2,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,2026,3,gaussian_noise,0.5,0.893348365276212,0.8014789533560864,0.9191128506196999,0.8562746885445154
SKAB,GRU,2026,3,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,2026,4,gaussian_noise,0.5,0.9371572212065814,0.9702338766832034,0.8545568039950062,0.9087288416860272
SKAB,GRU,2026,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,2026,5,gaussian_noise,0.4,0.9216476382359525,0.9945141065830722,0.7872208436724566,0.878808864265928
SKAB,GRU,2026,5,unseen_data,0.4,1.0,0.0,0.0,0.0
SKAB,GRU,7,1,gaussian_noise,0.4,0.8908845981140547,0.9632224168126094,0.7124352331606217,0.8190618019359642
SKAB,GRU,7,1,unseen_data,0.4,0.7065439672801636,0.0,0.0,0.0
SKAB,GRU,7,2,gaussian_noise,0.3,0.8606853020739405,0.7586012408347433,0.8762214983713354,0.813180169286578
SKAB,GRU,7,2,unseen_data,0.3,1.0,1.0,1.0,1.0
SKAB,GRU,7,3,gaussian_noise,0.2,0.7873731679819617,0.6284843205574913,0.9412915851272016,0.7537215983285454
SKAB,GRU,7,3,unseen_data,0.2,1.0,1.0,1.0,1.0
SKAB,GRU,7,4,gaussian_noise,0.5,0.9362431444241316,0.999245283018868,0.8264669163545568,0.9046805603006491
SKAB,GRU,7,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,7,5,gaussian_noise,0.5,0.9234385493619879,0.9968701095461658,0.7903225806451613,0.8816608996539792
SKAB,GRU,7,5,unseen_data,0.5,1.0,0.0,0.0,0.0
SKAB,GRU,999,1,gaussian_noise,0.5,0.8852716659182757,0.9822595704948646,0.6813471502590673,0.8045889101338433
SKAB,GRU,999,1,unseen_data,0.5,0.7065439672801636,0.0,0.0,0.0
SKAB,GRU,999,2,gaussian_noise,0.4,0.8839044183949504,0.8021327014218009,0.8820846905537459,0.8402109835556935
SKAB,GRU,999,2,unseen_data,0.4,1.0,1.0,1.0,1.0
SKAB,GRU,999,3,gaussian_noise,0.3,0.8624577226606539,0.7375193000514668,0.9347684279191129,0.8245109321058688
SKAB,GRU,999,3,unseen_data,0.3,1.0,1.0,1.0,1.0
SKAB,GRU,999,4,gaussian_noise,0.5,0.9380712979890311,0.9889786921381337,0.8401997503121099,0.9085386432669592
SKAB,GRU,999,4,unseen_data,0.5,1.0,1.0,1.0,1.0
SKAB,GRU,999,5,gaussian_noise,0.5,0.9227669576897246,0.9992119779353822,0.7866004962779156,0.8802499132245748
SKAB,GRU,999,5,unseen_data,0.5,1.0,0.0,0.0,0.0
